plot,site,spiders,ants,others_p,herbeivore,predator,others_np,others_tbd,inverterate,cat_all,cat_bird,cat_insect,pupa_c_all,pupa_c_bird,pupa_c_insect,pupa_a_all,pupa_a_bird,pupa_a_insect,larva_a,larva_c,fpupa_c_all,fpupa_c_bird,fpupa_c_insect,fpupa_a_all,fpupa_a_bird,fpupa_a_insect
C1,canopy,15,2,1,6,18,0,5,29,0.06,0,0.06,1,0,1,0.33,0,0.33,1,1,0,0,0,0,0,0
C2,canopy,4,4,0,2,8,0,0,10,0.14,0,0.14,0,0,0,0.33,0,0.33,1,1,0,0,0,0.33,0.33,0
C3,canopy,10,5,0,6,15,2,3,26,0.23,0,0.23,1,0,1,1,0,1,1,1,0,0,0,0.33,0.33,0
C4,canopy,11,0,0,4,11,0,4,19,0.2,0,0.2,0.33,0,0.33,0,0,0,0,0.67,0,0,0,0.33,0,0.33
C5,canopy,14,0,0,13,14,0,2,29,0.29,0.04,0.24,0,0,0,0,0,0,1,1,0,0,0,0,0,0
C6,canopy,12,1,0,6,13,4,5,28,0.19,0,0.19,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0
C7,canopy,13,0,0,6,13,3,6,28,0.14,0,0.14,0.33,0.33,0,0,0,0,0.33,1,0,0,0,0,0,0
C8,canopy,15,11,1,6,27,4,17,54,0.04,0.02,0.02,1,0,1,1,0,0.33,1,1,0,0,0,0,0,0
C9,canopy,6,0,0,7,6,0,0,13,,,,0,0,0,0.33,0,0.33,0.33,0.67,0,0,0,0,0,0
C10,canopy,8,1,0,30,9,7,1,47,0.22,0,0.22,1,0,1,0,0,0,1,1,0,0,0,0,0,0
U1,understory,9,1,0,0,10,0,2,12,0.24,0.02,0.22,0.33,0,0.33,0,0,0,1,0.33,0,0,0,0,0,0
U2,understory,10,1,0,3,11,3,2,19,0.11,0,0.11,1,0,1,0,0,0,1,1,0.33,0,0.33,0.33,0,0.33
U3,understory,9,0,1,1,10,0,0,11,0.07,0.02,0.05,0,0,0,0,0,0,1,1,0.67,0,0.67,0,0,0
U4,understory,12,8,2,3,22,1,1,27,0.04,0,0.04,1,0,1,0.67,0,0.67,1,1,0.67,0.33,0.33,0,0,0
U5,understory,10,1,0,6,11,4,2,23,0.09,0,0.09,0.33,0.33,0,0,0,0,0.33,1,0,0,0,0.33,0,0.33
U6,understory,5,0,1,2,6,3,2,13,0.13,0.02,0.11,0,0,0,0,0,0,0.33,1,0.33,0.33,0,0.67,0,0.67
U7,understory,9,1,0,1,10,0,0,11,0.06,0.04,0.02,0,0,0,0,0,0,1,1,0,0,0,0,0,0
U8,understory,11,0,2,1,13,0,3,17,0.02,0,0.02,1,0,1,0,0,0,1,1,0,0,0,0,0,0
U9,understory,10,2,1,2,13,0,3,18,0.15,0,0.15,0,0,0,0,0,0,0.33,1,0.33,0,0.33,0.67,0,0.67
U10,understory,12,2,2,4,16,0,3,23,0.13,0.04,0.09,0.33,0.33,0,0,0,0,1,1,0,0,0,0.33,0,0.33
R1,rubber,10,2,0,4,12,1,5,22,0.31,0.04,0.27,0.33,0.33,0,0,0,0,0.67,1,0.33,0.33,0,0.33,0.33,0
R2,rubber,18,9,0,4,27,0,2,33,0.04,0,0.04,0,0,0,0,0,0,0.33,1,0.33,0.33,0,0,0,0
R3,rubber,6,3,0,0,9,0,4,13,0.26,0,0.26,0,0,0,0,0,0,0.33,1,0,0,0,0,0,0
R4,rubber,11,3,1,0,15,0,4,19,0.06,0,0.06,0,0,0,0,0,0,0,1,0.33,0.33,0,0,0,0
R5,rubber,11,2,0,5,13,0,4,22,0.08,0,0.08,0,0,0,0,0,0,0.67,1,0,0,0,0,0,0
R6,rubber,8,1,0,5,9,1,3,18,0.07,0,0.07,0,0,0,0,0,0,0.33,0.67,0.33,0.33,0,0.33,0.33,0
R7,rubber,12,6,0,2,18,1,2,23,0.13,0,0.13,0,0,0,0,0,0,1,0,0.67,0.67,0,0.33,0.33,0
R8,rubber,15,2,0,6,17,0,0,23,0.15,0.02,0.13,0.33,0.33,0,0.33,0,0.33,0.67,0,0,0,0,0,0,0
R9,rubber,21,3,0,2,24,0,1,27,0.09,0.02,0.07,0,0,0,0,0,0,0.33,0.67,0.33,0.33,0,0,0,0
R10,rubber,25,2,0,4,27,0,3,34,0.14,0.02,0.12,0,0,0,0,0,0,1,1,0,0,0,0.33,0.33,0
